EPOCH=001,Accuracy= 60.840%
EPOCH=002,Accuracy= 63.930%
EPOCH=003,Accuracy= 76.100%
EPOCH=004,Accuracy= 78.400%
EPOCH=005,Accuracy= 79.190%
EPOCH=006,Accuracy= 83.600%
EPOCH=007,Accuracy= 81.360%
EPOCH=008,Accuracy= 84.580%
EPOCH=009,Accuracy= 85.500%
EPOCH=010,Accuracy= 84.430%
EPOCH=011,Accuracy= 87.290%
EPOCH=012,Accuracy= 86.790%
EPOCH=013,Accuracy= 87.650%
EPOCH=014,Accuracy= 86.580%
EPOCH=015,Accuracy= 86.970%
EPOCH=016,Accuracy= 87.320%
EPOCH=017,Accuracy= 85.790%
EPOCH=018,Accuracy= 82.650%
EPOCH=019,Accuracy= 89.080%
EPOCH=020,Accuracy= 88.450%
