001  00001 |Loss: 2.330 | Acc: 12.500% 
001  00002 |Loss: 2.325 | Acc: 11.328% 
001  00003 |Loss: 2.307 | Acc: 12.240% 
001  00004 |Loss: 2.295 | Acc: 11.914% 
001  00005 |Loss: 2.292 | Acc: 12.188% 
001  00006 |Loss: 2.287 | Acc: 13.021% 
001  00007 |Loss: 2.276 | Acc: 13.281% 
001  00008 |Loss: 2.257 | Acc: 14.355% 
001  00009 |Loss: 2.231 | Acc: 14.757% 
001  00010 |Loss: 2.201 | Acc: 16.484% 
001  00011 |Loss: 2.200 | Acc: 16.761% 
001  00012 |Loss: 2.185 | Acc: 17.383% 
001  00013 |Loss: 2.179 | Acc: 17.728% 
001  00014 |Loss: 2.161 | Acc: 18.192% 
001  00015 |Loss: 2.150 | Acc: 18.646% 
001  00016 |Loss: 2.141 | Acc: 18.896% 
001  00017 |Loss: 2.130 | Acc: 19.210% 
001  00018 |Loss: 2.120 | Acc: 19.575% 
001  00019 |Loss: 2.114 | Acc: 19.984% 
001  00020 |Loss: 2.111 | Acc: 20.117% 
001  00021 |Loss: 2.099 | Acc: 20.685% 
001  00022 |Loss: 2.091 | Acc: 21.023% 
001  00023 |Loss: 2.091 | Acc: 21.196% 
001  00024 |Loss: 2.079 | Acc: 21.777% 
001  00025 |Loss: 2.073 | Acc: 21.969% 
001  00026 |Loss: 2.069 | Acc: 22.145% 
001  00027 |Loss: 2.059 | Acc: 22.656% 
001  00028 |Loss: 2.052 | Acc: 22.712% 
001  00029 |Loss: 2.046 | Acc: 23.060% 
001  00030 |Loss: 2.036 | Acc: 23.542% 
001  00031 |Loss: 2.035 | Acc: 23.538% 
001  00032 |Loss: 2.031 | Acc: 23.608% 
001  00033 |Loss: 2.028 | Acc: 24.006% 
001  00034 |Loss: 2.021 | Acc: 24.403% 
001  00035 |Loss: 2.016 | Acc: 24.531% 
001  00036 |Loss: 2.012 | Acc: 24.696% 
001  00037 |Loss: 2.008 | Acc: 25.000% 
001  00038 |Loss: 2.003 | Acc: 25.144% 
001  00039 |Loss: 1.992 | Acc: 25.541% 
001  00040 |Loss: 1.987 | Acc: 25.820% 
001  00041 |Loss: 1.985 | Acc: 25.896% 
001  00042 |Loss: 1.979 | Acc: 26.135% 
001  00043 |Loss: 1.975 | Acc: 26.363% 
001  00044 |Loss: 1.965 | Acc: 26.687% 
